"","YrQtr","Index"
"1",1952,55040678.4384137
"2",1952.25,74641458.4680002
"3",1952.5,81564787.8885377
"4",1952.75,100047033.063251
"5",1953,75244792.1879007
"6",1953.25,95904199.7883645
"7",1953.5,76188995.0931887
"8",1953.75,82886602.6209338
"9",1954,75664961.2322095
"10",1954.25,75974909.312693
"11",1954.5,69806556.9122084
"12",1954.75,66914207.7328145
"13",1955,74137907.9358215
"14",1955.25,77056317.0538463
"15",1955.5,60249892.9668685
"16",1955.75,74557829.6999404
"17",1956,69034059.8881554
"18",1956.25,72982368.587794
"19",1956.5,73006321.0848084
"20",1956.75,84751392.0251286
"21",1957,84193230.5173634
"22",1957.25,100938056.654511
"23",1957.5,85958978.1368889
"24",1957.75,77933766.6704811
"25",1958,67229836.0364109
"26",1958.25,88026474.0351052
"27",1958.5,80018834.4250176
"28",1958.75,76720799.5181411
"29",1959,69995614.2663057
"30",1959.25,80428913.9160116
"31",1959.5,91004648.4740451
"32",1959.75,78728942.1855762
"33",1960,78587950.9889759
"34",1960.25,102516560.15675
"35",1960.5,82996688.919931
"36",1960.75,72711243.9143945
"37",1961,69238471.839689
"38",1961.25,86643079.2265196
"39",1961.5,64433763.7448296
"40",1961.75,59132704.9388226
"41",1962,56102027.5326174
"42",1962.25,66510273.2274317
"43",1962.5,63154403.5100877
"44",1962.75,61806301.9650682
"45",1963,49608353.2597875
"46",1963.25,56831447.5862239
"47",1963.5,56447778.882774
"48",1963.75,59544953.7001526
"49",1964,52183762.351917
"50",1964.25,67519065.7340379
"51",1964.5,63597966.9372713
"52",1964.75,54962093.8783962
"53",1965,53611370.0452438
"54",1965.25,62910753.2962186
"55",1965.5,61788540.7542795
"56",1965.75,58531724.8342347
"57",1966,64412590.3049692
"58",1966.25,73448403.7288806
"59",1966.5,62546727.3598232
"60",1966.75,51460024.5612185
"61",1967,43794233.1575162
"62",1967.25,46230877.7216591
"63",1967.5,49454142.1574406
"64",1967.75,48019918.8792517
"65",1968,47405826.870634
"66",1968.25,57758969.6573707
"67",1968.5,52094150.3411422
"68",1968.75,48250256.4824011
"69",1969,45943320.5384739
"70",1969.25,53958056.264011
"71",1969.5,53621313.0792137
"72",1969.75,56154456.934305
"73",1970,56651682.3471098
"74",1970.25,63295872.0212968
"75",1970.5,46541555.807254
"76",1970.75,51162813.2463352
"77",1971,56182067.0702051
"78",1971.25,55436117.6975598
"79",1971.5,54097609.9943731
"80",1971.75,60219031.0320569
"81",1972,53542540.4668648
"82",1972.25,52919754.8431936
"83",1972.5,47734556.3396975
"84",1972.75,45678969.930708
"85",1973,37980554.4091136
"86",1973.25,45071113.1095636
"87",1973.5,47906760.9519599
"88",1973.75,47914243.1852029
"89",1974,40491051.7311901
"90",1974.25,43286116.2788991
"91",1974.5,42062298.7859274
"92",1974.75,45967936.3138593
"93",1975,41886325.2415977
"94",1975.25,49858134.5617848
"95",1975.5,42755673.1759906
"96",1975.75,37401937.4752857
"97",1976,38551751.1973813
"98",1976.25,43778980.6711279
"99",1976.5,43518570.0843012
"100",1976.75,44104184.3687422
"101",1977,39855246.4143778
"102",1977.25,46092373.4908486
"103",1977.5,47215523.651667
"104",1977.75,46582590.804081
"105",1978,49584395.933284
"106",1978.25,63778518.4336231
"107",1978.5,55812118.6853767
"108",1978.75,50227818.9754113
"109",1979,41528692.2908611
"110",1979.25,47372070.8115526
"111",1979.5,47388537.5279084
"112",1979.75,55268260.5428557
"113",1980,51250636.7105646
"114",1980.25,52214409.0124385
"115",1980.5,52633839.8978739
"116",1980.75,45103263.5372661
"117",1981,32647665.5431538
"118",1981.25,37704006.3867021
"119",1981.5,38700433.1223117
"120",1981.75,35551988.010488
"121",1982,34206555.2682788
"122",1982.25,36191103.8896887
"123",1982.5,37614181.3317512
"124",1982.75,38435449.209954
"125",1983,35937873.0460218
"126",1983.25,37200343.3553968
"127",1983.5,46145371.0365566
"128",1983.75,56173425.9971752
"129",1984,43709329.2865022
"130",1984.25,32115953.5750828
"131",1984.5,32299992.1520225
"132",1984.75,33262558.8610369
"133",1985,34038029.8396623
"134",1985.25,43078923.9258257
"135",1985.5,42921219.5843275
"136",1985.75,35262324.2891966
"137",1986,41020814.8689744
"138",1986.25,43916001.9981287
"139",1986.5,44186037.311338
"140",1986.75,41766534.514255
"141",1987,37202122.2397352
"142",1987.25,42481032.5708957
"143",1987.5,42836572.3687783
"144",1987.75,42634538.5607473
"145",1988,37089178.6211849
"146",1988.25,37852438.3885955
"147",1988.5,40067785.9570876
"148",1988.75,39278068.3529264
"149",1989,35542890.7392721
"150",1989.25,32451777.275262
"151",1989.5,36356878.8078297
"152",1989.75,31514339.5661322
"153",1990,34971064.6443595
"154",1990.25,47461701.9475311
"155",1990.5,38196402.7190831
"156",1990.75,29752475.259476
"157",1991,31431258.1249955
"158",1991.25,36967437.0340237
"159",1991.5,33316622.9823038
"160",1991.75,31523189.6952827
"161",1992,30901703.2217354
"162",1992.25,41958351.8095095
"163",1992.5,49798737.0274657
"164",1992.75,36942463.0558483
"165",1993,30465800.936003
"166",1993.25,34812093.1837366
"167",1993.5,38644248.9648401
"168",1993.75,34983373.3394845
"169",1994,37278007.6339138
"170",1994.25,29281496.5102732
"171",1994.5,33542097.6445481
"172",1994.75,35820813.998993
"173",1995,38157374.0870553
"174",1995.25,40633146.7868295
"175",1995.5,33087726.1285269
"176",1995.75,27846767.2422936
"177",1996,26384943.1484244
"178",1996.25,40753262.9632168
"179",1996.5,57335065.7650095
"180",1996.75,43734485.7811071
"181",1997,49662769.138439
"182",1997.25,41945845.1196587
"183",1997.5,38332832.736721
"184",1997.75,28080966.1157722
"185",1998,25972024.246677
"186",1998.25,29880362.9994654
"187",1998.5,34332074.0348338
"188",1998.75,27336629.1910225
"189",1999,19025253.2492696
"190",1999.25,21927195.4456035
"191",1999.5,23993907.2757582
"192",1999.75,31526756.8297388
"193",2000,34656364.6882592
"194",2000.25,33631832.968469
"195",2000.5,41052994.8994908
"196",2000.75,28958191.7969468
"197",2001,24575005.2177441
"198",2001.25,33718302.7624991
"199",2001.5,26738298.4407192
"200",2001.75,21028044.6931985
"201",2002,22587840.5856292
"202",2002.25,25097352.1797878
"203",2002.5,23876272.3161727
"204",2002.75,24793470.2969894
"205",2003,26297810.9493415
"206",2003.25,30775687.299861
"207",2003.5,27959208.2493135
"208",2003.75,20947362.9473277
"209",2004,20174126.7078551
"210",2004.25,29729941.7973095
"211",2004.5,35163887.2633773
"212",2004.75,27042281.5026673
"213",2005,18822274.0834881
"214",2005.25,24254812.3092541
"215",2005.5,25163127.0680349
"216",2005.75,20411958.4170285
"217",2006,26599803.913034
"218",2006.25,29162301.5122295
"219",2006.5,24383005.175692
"220",2006.75,17623231.6245931
"221",2007,18268092.3997375
"222",2007.25,25490075.0382343
"223",2007.5,28571755.7853083
"224",2007.75,24870304.8041811
"225",2008,21595509.2681069
"226",2008.25,27474707.7506824
"227",2008.5,29959885.029097
"228",2008.75,18203603.9825828
"229",2009,21661457.0693586
"230",2009.25,25755591.5594309
"231",2009.5,24949302.1734608
"232",2009.75,21168707.6514338
"233",2010,18011569.4370035
"234",2010.25,24320767.7828822
"235",2010.5,27603962.1612323
"236",2010.75,21974777.3501074
"237",2011,24380917.1636381
"238",2011.25,25689005.7617016
"239",2011.5,21740542.149702
"240",2011.75,16992544.713018
"241",2012,19324069.1955133
"242",2012.25,20740242.8705519
"243",2012.5,21465318.5926313
"244",2012.75,17103255.7357405
"245",2013,18615800.2056596
"246",2013.25,22692554.1174797
"247",2013.5,17847939.2843941
"248",2013.75,18320659.7604025
"249",2014,23723190.2364912
"250",2014.25,26957803.8899499
"251",2014.5,29197828.0056067
"252",2014.75,21440900.7408204
"253",2015,25063600.5508325
"254",2015.25,28261112.6343839
"255",2015.5,25498923.1890306
"256",2015.75,26209559.7575502
"257",2016,24939175.6563009
"258",2016.25,24930082.0097729
"259",2016.5,29182771.2780724
"260",2016.75,24928351.4146158
"261",2017,26794439.4565911
"262",2017.25,30074052.4188274
"263",2017.5,31158167.1825083
"264",2017.75,28994538.8774675
"265",2018,25671250.8428433
"266",2018.25,27604113.8551023
"267",2018.5,24718028.3975671
"268",2018.75,22897139.2923201
"269",2019,32086526.5730571
"270",2019.25,33559491.9051938
"271",2019.5,31308811.9773455
"272",2019.75,28087661.670613
"273",2020,21724722.2464027
"274",2020.25,28649953.4296442
"275",2020.5,28136624.40744
"276",2020.75,25282506.9144187
"277",2021,33900119.1960411
"278",2021.25,28779897.1194339
"279",2021.5,23950403.3244831
"280",2021.75,23199442.8901356
